,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Feature 102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 103,0.00030907695715853183,0.00019630294988508135,0.0012210797862375648,0.0016117379743433033,0.0011722074358339824,0.000869785552698515,0.0012021560724620923,0.0001007232474476525,1.0164896761026344e-05,4.968244346193508e-06
Feature 104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 109,0.00014095741664568018,0.00012365651780270472,0.0007068453075687965,0.0013996378878032986,0.0005444299174344237,0.00025634322562299476,0.0011727715246153073,0.00028823927572795493,3.359542445639351e-05,5.9844199719121625e-06
Feature 110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 131,0.0003745683181712052,0.00024249488242853557,0.0022512083848323164,0.004368928352201325,0.0016221834497832386,0.0004963203675825904,0.009960393958977359,0.0006597769187102913,0.00014301986783753264,2.1186208791660234e-05
Feature 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 133,0.0034560083114623763,0.0018765247848602504,0.005561503574052238,0.011595925711253993,0.021428102233186464,0.052168540101599555,0.04087169711274986,0.005450008583147005,0.0008146233780239976,0.0001258122444752167
Feature 134,0.001398509305114056,0.0012004884201907036,0.0072769382630132155,0.006233713272368701,0.04013691126949118,0.0725988602036876,0.035881627833065165,0.0045041719026552175,0.0004439785256360889,0.00010599741781911108
Feature 135,0.00045363268520904715,0.00020007768243695927,0.0015969656697986238,0.007929458593139918,0.006093902835631811,0.0009629747395867936,0.004720749763272891,0.001133463158521877,0.00016924900730995907,2.7178371087631936e-05
Feature 136,1.7988370020464967e-05,1.6797267464345673e-05,0.00037214072650989085,0.00018836033425454583,0.0004628744046279713,0.0004087427918546448,0.00033512569535862157,7.59477389843071e-05,1.4611738814786816e-05,3.260209340017684e-06
Feature 137,5.001701242834833e-05,8.037659417999704e-05,0.0008256984304365062,0.0020011301546055526,0.004310927166925087,0.0006156612023315461,0.0020600708635584073,0.002624621751233516,0.00024523121151974876,4.2286944103560806e-05
Feature 138,4.959453752138931e-05,5.1320380272702714e-05,0.00046715716284953616,0.0020547012534045247,0.00031355043678484094,0.0006672002923976823,0.000612473275630061,0.0005654659744252539,5.504511921456602e-05,1.406447931516163e-05
Feature 139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 147,0.000731646458081533,0.0005027068338888766,0.0027709476558885355,0.0037173025684302933,0.004115875787885804,0.002208719415333316,0.014727584707874173,0.011516591274488038,0.0006576242866241763,4.745924217035538e-05
Feature 148,0.0015028257102127427,0.0006976127567902403,0.005363576131853441,0.008125141226315155,0.004289255499375625,0.007003281315550566,0.01185527954803797,0.008785564300849818,0.0002914110109784781,0.00010032123811811967
Feature 149,0.0015092407060059005,0.0003671615009123144,0.003162659326550483,0.013705211469340952,0.0021804997472100436,0.003935135125921359,0.025450531595049567,0.0020413599453759073,0.00032237916138787027,3.362730533170102e-05
Feature 150,0.0001309442605081071,0.00011342973122904907,0.0006732068972063599,0.0013320325797966314,0.0014724175254847113,0.0012592046896274243,0.0058788352390235785,0.001062619198120011,9.927896771344449e-05,1.1122069240391073e-05
Feature 151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 154,8.988642748549198e-05,7.210540807913345e-05,0.0009139909192069853,0.0035128446234618587,0.0008080344254396816,0.0007965391758240451,0.005185775326730261,0.0010569961862543855,0.0001224702512032449,2.2864286586792502e-05
Feature 155,0.00019186366215021255,9.911821237201602e-05,0.0005481390706726522,0.001247565645327939,0.0008814880940834143,0.0009441924821077941,0.002783641848895816,0.0013495228643374386,6.0184214338222035e-05,1.4550432826229083e-05
Feature 156,0.00022857129101174755,6.680440837866187e-05,0.000496491995734225,0.0019496286442107489,0.0015183276019384113,0.0005409208764072064,0.001380435030681374,0.0002675839983842172,7.217173439011187e-05,2.8294822404399644e-05
Feature 157,1.1308617583262024e-05,5.717999737810791e-06,3.702138529253151e-05,0.00010075037249506493,5.79390030009876e-05,7.362528190962278e-05,8.931179109351589e-05,8.347757680185941e-05,1.3018283144147468e-05,1.314608870062915e-06
Feature 158,4.299917552994522e-05,1.2014001734685328e-05,0.00010234884530545796,0.0006361126794830949,0.0001985829005603178,0.00017470600520536473,0.0008234008238579268,7.745969804178338e-05,1.1207665647791781e-05,5.320099750071893e-06
Feature 159,0.0009190756042869345,0.0008544810320107854,0.007055435721849833,0.013493260305799691,0.007609652120202393,0.012525781652198444,0.02375391142295218,0.012764336963537298,0.0014613228833970362,0.00014832316677136986
Feature 160,0.010494113127978145,0.002264184215724003,0.019550236417462022,0.057878158194771406,0.06335076015134165,0.05760821939791381,0.07272501450387363,0.020155090504903023,0.0023316263311554176,0.0008042335673322581
Feature 161,0.007795786262335538,0.0030613562169803325,0.03624494029916948,0.11570163470026067,0.028235978560399687,0.014426636402791838,0.20288795068953333,0.01928332328741732,0.0020302751211967907,0.0004430864861224523
Feature 162,0.0009098505284993827,0.0007094340264422167,0.004809420799918014,0.009253623513363953,0.004652680201785568,0.009034957408868494,0.017451646660304,0.008829927329209999,0.0014037698196737688,0.0001217171643254023
Feature 163,0.0015953696439485825,0.0005518806912267784,0.00318811149888171,0.009654631675001933,0.004548776537581921,0.005387388167276338,0.026082638170492944,0.0013205507679899964,0.0002266562340881255,4.9658706167141145e-05
Feature 164,0.00012063591916253264,4.1647438984211615e-05,0.0002581551630511229,0.0009322741731774601,0.00024438162531700185,0.00020221517866962285,0.0009247444311649136,0.0008025359377167263,3.056546013533381e-05,7.062854856728433e-06
Feature 165,0.00013688395069114145,5.755767419983116e-05,0.00038729353799326515,0.0018209419674764865,0.00045973326154965415,0.00024299867989017375,0.0011801889459248328,0.001417178808778685,6.730940673630486e-05,1.6208510047789568e-05
Feature 166,2.3163664704718952e-05,1.372246385890253e-05,0.00013119568259704062,0.00026399023490479285,8.032754870297114e-05,7.849679851481776e-05,0.0002720699891104534,0.0002038081146623279,1.1518032240161337e-05,1.9111724306058655e-06
Feature 167,0.00015191162066267335,0.0001244172099525683,0.0013729509163649953,0.005131182094364386,0.0012892465488113117,0.00045731275057305887,0.008724764426735466,0.0019040003879706388,0.0002703000834259202,4.578123052923831e-05
Feature 168,0.0001779439398391304,7.721784868340963e-05,0.0005799087453059213,0.0018374747872866553,0.002681480526545849,0.0006190245461591649,0.004031302900469432,0.008384959829011636,0.0005447568021970345,2.5837507507439285e-05
Feature 169,0.0003771604289035029,0.00010791274670438103,0.0012047753302446404,0.0026753990476635382,0.0007318206359572264,0.00035083382935581096,0.001546708413670775,0.0018683259769381676,0.00010490991675921593,1.608094614079795e-05
Feature 170,0.006031021279570199,0.005501542058402276,0.028274201840132317,0.04595323784867077,0.015586451090811667,0.009162255731810141,0.08941627131155838,0.009587393019499702,0.0011036846766507033,0.0002914893244556121
Feature 171,0.00023212447499548468,0.00018813394413444673,0.0007946995264618025,0.0021203621260369424,0.001571091806440005,0.001111639324902084,0.0038695350243237903,0.0013845579375214795,0.00016912316378239642,3.4318588463700415e-05
Feature 172,0.0004503624392657484,0.00024611637443347083,0.002889249894384471,0.002363420587740898,0.0024765364313206694,0.0012342761781757646,0.0032324643942596735,0.0008130260378792169,0.00014547126854179345,4.2107795933107415e-05
Feature 173,0.002425761501522517,0.002148948219628255,0.021822063086452573,0.04184589190749655,0.015872718814043216,0.0067042212208663745,0.056092585391459136,0.008582419193384518,0.001036992450124142,0.00016466097920886998
Feature 174,0.0009533850723630213,0.00034592086315845844,0.004896508725401327,0.01730799642157264,0.008851917832024339,0.0040101051144098045,0.015699503533197785,0.003635428802075809,0.0004986747669595127,0.0001099902933509066
Feature 175,0.0004431626741495863,0.000366345675844576,0.007548368654964443,0.005627768560384949,0.005689035448270617,0.0023503701530313485,0.026491620610635643,0.01582685519739377,0.0008912804106982434,0.00010069181257492314
Feature 176,0.0006907977581555898,0.00037384922483801164,0.0028135453184322335,0.004810845265599949,0.0032058504867393182,0.0013844713689318755,0.005934279143913736,0.003553145739948095,0.0003537772814687539,7.699616203276689e-05
Feature 177,0.0005072857779738707,0.00035102375638111963,0.00234399877463524,0.013617425473846742,0.006552700077862143,0.005726834295313651,0.008653433164730613,0.009017291111106397,0.0007791071527582852,0.00014182275555741153
Feature 178,0.001804944081854483,0.0011125022358406086,0.003943186692071886,0.02119670893264464,0.010434233989120573,0.013796140731899203,0.033528591023933726,0.013335605876269578,0.0006474441620073616,0.0004070978549982604
Feature 179,0.0012513160918505822,0.00017751644868458066,0.0021029432382499414,0.004363104943889814,0.0018871689228293343,0.0010240160078838526,0.009514806490320389,0.0012277125086353623,0.00016039580111811946,4.578258093683127e-05
Feature 180,1.8021303907213182e-06,1.9420117371374183e-06,2.6176009545596066e-05,1.256211829142139e-05,4.853703484444707e-06,4.725285295071437e-06,6.449018882196954e-05,1.5432396928986618e-05,2.390865453769555e-06,5.77064031475199e-07
Feature 181,0.0032576668649057566,0.001960645582057726,0.012125032274167013,0.009626219688260563,0.03402313404997675,0.020691073206201983,0.032236392937409965,0.0053594522269451075,0.0006092589418267291,0.00012960764012790523
Feature 182,0.002952925565180639,0.0010986475085546508,0.010561999021907471,0.02457823496986843,0.012513776177724137,0.0173067366719737,0.06718751571928826,0.005953524753863642,0.0006873198978482498,0.0001068610502911006
Feature 183,0.00040189620067711837,0.00048005462858558847,0.0012113206215996746,0.0033243034826644846,0.00458832810492704,0.0022521352001649373,0.008187247940082453,0.004038207692707579,0.0004247626677610157,4.5365439579539086e-05
Feature 184,0.0011328239696935275,0.0009375367732502673,0.008084577900866023,0.009804290961430116,0.034677092484970445,0.011241408323281996,0.02029913171431579,0.009395310571127208,0.0006187814878265385,7.380372271947052e-05
Feature 185,0.0008399485156514595,0.0014319472150154822,0.004794046960476085,0.009649463821462631,0.013178856101205694,0.03982429545496765,0.0422770160729589,0.002590830717955533,0.0002638511391555834,5.8384672158964706e-05
Feature 186,0.003336594956864264,0.0036484923431271397,0.007641163093177863,0.01814475694845163,0.06314388976798425,0.009479274853349921,0.08695035218981673,0.011157857286490758,0.001436164396756163,0.00016455344789603415
Feature 187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 189,0.0010388013727852365,0.0001654757006055769,0.0054920016476600435,0.0167838751914103,0.0029859498516149035,0.0024296574569772672,0.02497517606469614,0.0033751059187235276,0.00017498259607968473,5.219488771734406e-05
Feature 190,0.0011530024075152112,0.0004181726575362612,0.003254413298988593,0.006837392504039688,0.008949786942734501,0.003028956539626741,0.011335196001567857,0.003110343297745859,0.0004097488830498834,5.4097347495412776e-05
Feature 191,0.005654933140961196,0.0029335850349713672,0.020164872088371148,0.032690525195330895,0.09216404767530298,0.011745146612332627,0.039645137674975434,0.02031876039432131,0.0022724621591027005,0.0003093528122179586
Feature 192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
